资产,均值,中位数,标准差,偏度,峰度,最小值,最大值,自相关,最高点日期,最低点日期
上证50指数,0.00022,0.000209,0.01662,-0.278566,4.160583,-0.099494,0.092334,0.005824,2007-10-16,2005-06-03
沪深300指数,0.000223,0.000607,0.016271,-0.407753,4.189717,-0.096952,0.089748,0.023,2007-10-16,2005-06-03
中证500指数,0.000423,0.001906,0.019063,-0.850803,3.59974,-0.093791,0.09415,0.065321,2015-06-12,2005-07-18
上证50ETF,0.000337,0.0,0.016916,-0.155838,5.059817,-0.105455,0.09578,-0.010648,2021-02-10,2005-06-03
沪深300期货,5.4e-05,-5.3e-05,0.015929,-0.413121,6.986496,-0.106357,0.097371,-0.003339,2021-02-10,2014-03-20
50ETF购9月2450,-0.008589,-0.035521,0.073874,0.813148,-0.574006,-0.100389,0.15879,-0.14475,2022-08-12,2022-08-24
50ETF沽9月3500,0.003732,0.011562,0.040982,-0.593662,-0.371605,-0.095997,0.0722,-0.132143,2022-08-24,2022-08-12
贵州茅台,0.000941,0.00027,0.019648,0.015591,2.319221,-0.105361,0.09531,0.005697,2021-02-10,2010-06-29
中国平安,0.00024,0.0,0.019458,0.099224,3.338493,-0.105398,0.095448,-0.009553,2020-12-01,2013-07-29
长江电力,0.00048,0.0,0.012429,0.021523,5.886845,-0.100009,0.075223,-0.068712,2022-08-12,2011-09-06
中国中免,0.000959,0.000334,0.026699,-0.031553,2.54445,-0.105501,0.095488,0.014973,2021-02-10,2010-05-20
恒瑞医药,0.000628,0.000557,0.021153,-0.072809,2.446954,-0.105361,0.095464,0.015545,2020-12-25,2010-07-01
