资产,年份,平均日收益,收益率标准差
贵州茅台,2010,0.000554,0.019398
贵州茅台,2011,0.000758,0.015466
贵州茅台,2012,0.000579,0.019645
贵州茅台,2013,-0.001736,0.018623
贵州茅台,2014,0.002285,0.019641
贵州茅台,2015,0.001351,0.02518
贵州茅台,2016,0.001975,0.016739
贵州茅台,2017,0.003223,0.016961
贵州茅台,2018,-0.000379,0.022424
贵州茅台,2019,0.003097,0.019139
贵州茅台,2020,0.002375,0.018333
贵州茅台,2021,0.00042,0.023567
贵州茅台,2022,-0.00033,0.017461
中国平安,2010,0.000427,0.020868
中国平安,2011,-0.001764,0.019393
中国平安,2012,0.001339,0.018745
中国平安,2013,-8.1e-05,0.020525
中国平安,2014,0.002657,0.020509
中国平安,2015,0.000345,0.02994
中国平安,2016,7.6e-05,0.012073
中国平安,2017,0.003013,0.016758
中国平安,2018,-0.000591,0.019968
中国平安,2019,0.001959,0.016795
中国平安,2020,0.000343,0.017723
中国平安,2021,-0.00196,0.016815
中国平安,2022,-0.000529,0.01732
长江电力,2010,-0.000419,0.012637
长江电力,2011,-0.000501,0.01151
长江电力,2012,0.000506,0.008345
长江电力,2013,-7.5e-05,0.011941
长江电力,2014,0.002439,0.01506
长江电力,2015,0.001276,0.019267
长江电力,2016,-0.000123,0.009495
长江电力,2017,0.001087,0.008624
长江电力,2018,0.000294,0.01069
长江电力,2019,0.000812,0.010608
长江电力,2020,0.000393,0.012082
长江电力,2021,0.000927,0.013113
长江电力,2022,0.000611,0.014896
中国中免,2010,0.002103,0.029704
中国中免,2011,-0.000406,0.022674
中国中免,2012,0.000394,0.019732
中国中免,2013,0.00131,0.022521
中国中免,2014,0.001231,0.020012
中国中免,2015,0.001878,0.0365
中国中免,2016,-0.001074,0.017683
中国中免,2017,0.00314,0.021312
中国中免,2018,0.001808,0.029307
中国中免,2019,0.001817,0.019484
中国中免,2020,0.005431,0.036258
中国中免,2021,-0.00048,0.033016
中国中免,2022,-0.000697,0.030541
恒瑞医药,2010,0.001667,0.022757
恒瑞医药,2011,-0.001076,0.016831
恒瑞医药,2012,0.000621,0.015836
恒瑞医药,2013,0.001625,0.021852
恒瑞医药,2014,0.000496,0.017421
恒瑞医药,2015,0.002673,0.03108
恒瑞医药,2016,0.000525,0.012876
恒瑞医药,2017,0.002586,0.015596
恒瑞医药,2018,0.000361,0.027591
恒瑞医药,2019,0.003044,0.020327
恒瑞医药,2020,0.001948,0.019675
恒瑞医药,2021,-0.002213,0.022983
恒瑞医药,2022,-0.002168,0.023474
等权组合,2010,0.000804,0.013924
等权组合,2011,-0.000608,0.012444
等权组合,2012,0.000555,0.011773
等权组合,2013,0.000251,0.012192
等权组合,2014,0.001533,0.011667
等权组合,2015,0.001426,0.021291
等权组合,2016,0.000264,0.010883
等权组合,2017,0.002642,0.01072
等权组合,2018,0.000274,0.019274
等权组合,2019,0.002357,0.014542
等权组合,2020,0.002793,0.018249
等权组合,2021,-0.000704,0.021568
等权组合,2022,-0.000803,0.018746
沪深300指数,2010,-0.000381,0.015852
沪深300指数,2011,-0.001095,0.013017
沪深300指数,2012,0.000382,0.012874
沪深300指数,2013,-0.000236,0.013997
沪深300指数,2014,0.001774,0.012129
沪深300指数,2015,0.000534,0.024836
沪深300指数,2016,-0.000391,0.014
沪深300指数,2017,0.000828,0.006392
沪深300指数,2018,-0.001109,0.013496
沪深300指数,2019,0.001341,0.012507
沪深300指数,2020,0.001094,0.014344
沪深300指数,2021,-0.000151,0.011708
沪深300指数,2022,-0.001172,0.013142
