月份,最小特征值
2010-03,4.657e-05
2010-04,0.00013541
2010-05,0.00011885
2010-06,0.00011015
2010-07,4.668e-05
2010-08,8.01e-06
2010-09,4.997e-05
2010-10,0.00013962
2010-11,0.0001725
2010-12,8.992e-05
2011-01,6.022e-05
2011-02,4e-05
2011-03,6.775e-05
2011-04,7.265e-05
2011-05,0.00012079
2011-06,8.466e-05
2011-07,5.825e-05
2011-08,3.557e-05
2011-09,7.867e-05
2011-10,7.402e-05
2011-11,7.673e-05
2011-12,8.68e-05
2012-01,7.322e-05
2012-02,6.129e-05
2012-03,5.215e-05
2012-04,3.06e-05
2012-05,3.347e-05
2012-06,4.188e-05
2012-07,4.016e-05
2012-08,2.755e-05
2012-09,5.949e-05
2012-10,5.205e-05
2012-11,4.853e-05
2012-12,3.459e-05
2013-01,6.217e-05
2013-02,0.00013484
2013-03,0.00016435
2013-04,0.0001073
2013-05,0.00010603
2013-06,9.499e-05
2013-07,0.00014189
2013-08,0.00011308
2013-09,4.5e-05
2013-10,4.117e-05
2013-11,4.297e-05
2013-12,5.444e-05
2014-01,5.43e-05
2014-02,6.406e-05
2014-03,5.374e-05
2014-04,6.672e-05
2014-05,5.259e-05
2014-06,4.353e-05
2014-07,4.08e-05
2014-08,6.812e-05
2014-09,7.974e-05
2014-10,5.838e-05
2014-11,0.00011825
2014-12,0.00019397
2015-01,0.00017856
2015-02,0.00018663
2015-03,0.00012451
2015-04,5.722e-05
2015-05,0.0
2015-06,0.0001627
2015-07,0.00018571
2015-08,0.0
2015-09,-0.0
2015-10,0.0
2015-11,0.00010596
2015-12,7.639e-05
2016-01,6.859e-05
2016-02,4.971e-05
2016-03,6.591e-05
2016-04,5.595e-05
2016-05,2.847e-05
2016-06,2.505e-05
2016-07,3.043e-05
2016-08,4.692e-05
2016-09,4.88e-05
2016-10,4.331e-05
2016-11,2.311e-05
2016-12,2.746e-05
2017-01,2.71e-05
2017-02,2.58e-05
2017-03,1.289e-05
2017-04,1.885e-05
2017-05,3.618e-05
2017-06,4.037e-05
2017-07,7.049e-05
2017-08,5.935e-05
2017-09,7.299e-05
2017-10,6.52e-05
2017-11,7.272e-05
2017-12,6.456e-05
2018-01,7.214e-05
2018-02,6.119e-05
2018-03,5.662e-05
2018-04,5.641e-05
2018-05,4.697e-05
2018-06,6.744e-05
2018-07,8.175e-05
2018-08,6.407e-05
2018-09,8.968e-05
2018-10,6.72e-05
2018-11,4.794e-05
2018-12,6.421e-05
2019-01,6.818e-05
2019-02,9.353e-05
2019-03,9.544e-05
2019-04,9.39e-05
2019-05,8.328e-05
2019-06,5.324e-05
2019-07,3.983e-05
2019-08,4.67e-05
2019-09,7.595e-05
2019-10,8.403e-05
2019-11,6.953e-05
2019-12,4.913e-05
2020-01,4.689e-05
2020-02,7.015e-05
2020-03,4.879e-05
2020-04,4.148e-05
2020-05,6.393e-05
2020-06,7.102e-05
2020-07,0.00011963
2020-08,0.00010259
2020-09,5.692e-05
2020-10,8.666e-05
2020-11,0.00011209
2020-12,0.0001475
2021-01,0.00011778
2021-02,0.00012165
2021-03,0.0002077
2021-04,0.00014819
2021-05,8.118e-05
2021-06,6.481e-05
2021-07,9.587e-05
2021-08,9.887e-05
2021-09,0.00014532
2021-10,0.00015042
2021-11,0.00016503
2021-12,0.00013619
2022-01,9.623e-05
2022-02,0.00010115
2022-03,0.00010733
2022-04,0.00012935
2022-05,0.00010089
2022-06,8.827e-05
2022-07,6.942e-05
2022-08,4.197e-05
