策略,月份,平均日收益,收益率标准差
GMV,2010-03,-0.001868,0.006145
GMV,2010-04,0.000631,0.015538
GMV,2010-05,0.000248,0.013995
GMV,2010-06,-0.004581,0.01096
GMV,2010-07,0.003223,0.007776
GMV,2010-08,0.003547,0.013949
GMV,2010-09,0.005764,0.016917
GMV,2010-10,0.001211,0.013001
GMV,2010-11,0.001155,0.016303
GMV,2010-12,-0.002272,0.008892
GMV,2011-01,0.001041,0.011252
GMV,2011-02,-0.001331,0.007308
GMV,2011-03,0.001909,0.012695
GMV,2011-04,0.000877,0.010884
GMV,2011-05,-0.001081,0.010779
GMV,2011-06,0.000564,0.010403
GMV,2011-07,-0.004316,0.009951
GMV,2011-08,-0.002725,0.014333
GMV,2011-09,0.000997,0.010081
GMV,2011-10,0.002805,0.011097
GMV,2011-11,-0.000857,0.010481
GMV,2011-12,-0.001006,0.012145
GMV,2012-01,-0.002963,0.014057
GMV,2012-02,0.002432,0.00653
GMV,2012-03,-0.001502,0.008316
GMV,2012-04,0.002882,0.007854
GMV,2012-05,0.000916,0.008564
GMV,2012-06,0.001761,0.006888
GMV,2012-07,-0.000931,0.006345
GMV,2012-08,0.000274,0.007522
GMV,2012-09,0.000146,0.009391
GMV,2012-10,0.000254,0.005625
GMV,2012-11,-0.002111,0.007912
GMV,2012-12,0.002336,0.009029
GMV,2013-01,0.003749,0.014127
GMV,2013-02,-0.00188,0.01112
GMV,2013-03,-0.001993,0.011236
GMV,2013-04,0.003073,0.011006
GMV,2013-05,-0.0,0.007968
GMV,2013-06,-0.000334,0.015216
GMV,2013-07,0.00211,0.012509
GMV,2013-08,-0.001127,0.009189
GMV,2013-09,-0.000216,0.009353
GMV,2013-10,-0.003587,0.008151
GMV,2013-11,0.000908,0.006794
GMV,2013-12,-0.003649,0.009507
GMV,2014-01,0.001686,0.007771
GMV,2014-02,-0.002387,0.009781
GMV,2014-03,0.001214,0.011222
GMV,2014-04,-0.001501,0.006933
GMV,2014-05,0.003217,0.009595
GMV,2014-06,0.000348,0.006013
GMV,2014-07,0.004297,0.009862
GMV,2014-08,0.003262,0.010327
GMV,2014-09,-0.000538,0.010145
GMV,2014-10,-0.0002,0.009294
GMV,2014-11,0.005264,0.011912
GMV,2014-12,0.005137,0.018789
GMV,2015-01,-0.001154,0.014745
GMV,2015-02,0.003582,0.010926
GMV,2015-03,0.005533,0.010185
GMV,2015-04,0.006448,0.017734
GMV,2015-05,0.001731,0.01313
GMV,2015-06,-0.005726,0.027047
GMV,2015-07,0.003414,0.02822
GMV,2015-08,-0.000425,0.003856
GMV,2015-09,0.001923,0.008399
GMV,2015-10,0.005625,0.015035
GMV,2015-11,-0.00028,0.01471
GMV,2015-12,-0.002175,0.016855
GMV,2016-01,-0.003424,0.017032
GMV,2016-02,0.000147,0.011261
GMV,2016-03,0.001131,0.010182
GMV,2016-04,0.000839,0.007268
GMV,2016-05,0.001294,0.007777
GMV,2016-06,0.001047,0.006387
GMV,2016-07,0.001876,0.005279
GMV,2016-08,0.002637,0.009401
