月份,策略,贵州茅台,中国平安,长江电力,中国中免,恒瑞医药
2010-03,GMV,0.18147,-0.001471,0.804964,-0.026558,0.041595
2010-03,MV,0.048088,-0.044453,0.819711,0.141593,0.035061
2010-03,Utility,0.469464,0.091335,0.773123,-0.389625,0.055703
2010-04,GMV,0.344907,-0.060282,0.496105,0.115951,0.103318
2010-04,MV,0.25794,-0.057984,0.534498,0.114747,0.150799
2010-04,Utility,-1.929491,-0.000196,1.500172,0.084462,1.345053
2010-05,GMV,0.34908,-0.145153,0.552737,0.037898,0.205438
2010-05,MV,0.275064,-0.127737,0.550194,0.023687,0.278792
2010-05,Utility,-0.877389,0.143441,0.5106,-0.197587,1.420935
2010-06,GMV,0.318054,-0.057463,0.578185,0.002521,0.158703
2010-06,MV,0.281084,-0.085468,0.633235,0.048627,0.122522
2010-06,Utility,-0.006967,-0.303677,1.062163,0.407871,-0.159389
2010-07,GMV,0.186989,0.186658,0.62814,-0.094128,0.092341
2010-07,MV,0.373157,0.102755,0.473713,0.07145,-0.021075
2010-07,Utility,1.292844,-0.311735,-0.289173,0.889426,-0.581361
2010-08,GMV,0.001415,0.932415,0.06002,-0.01528,0.02143
2010-08,MV,0.318153,0.768061,-0.148123,0.172371,-0.110462
2010-08,Utility,1.650231,0.076851,-1.023489,0.961556,-0.665149
2010-09,GMV,-0.009576,0.298739,0.608787,0.018237,0.083812
2010-09,MV,0.116697,0.530104,0.067988,0.107018,0.178193
2010-09,Utility,1.066099,2.269653,-3.998083,0.774527,0.887805
2010-10,GMV,0.110051,0.059877,0.569073,0.075663,0.185337
2010-10,MV,0.122548,0.221901,0.407974,0.051057,0.19652
2010-10,Utility,0.197531,1.194003,-0.558582,-0.09657,0.263618
2010-11,GMV,0.146179,0.069206,0.595632,-0.0109,0.199882
2010-11,MV,0.191502,0.240384,0.204894,0.051495,0.311725
2010-11,Utility,0.283018,0.58603,-0.584094,0.177486,0.53756
2010-12,GMV,0.076376,0.02443,0.753457,-0.085698,0.231435
