date,momentum20,bp
2016-02-29,-0.4852165619,-0.2271707968
2016-03-31,-0.2590127593,0.1676406186
2016-04-29,-0.06534468,-0.1002689332
2016-05-31,0.0379929619,-0.2377547628
2016-06-30,0.0779930952,0.2005135488
2016-07-29,-0.3108936905,0.1900107253
2016-08-31,-0.0764511169,0.0599158389
2016-09-30,-0.1417281992,0.1980659455
2016-10-31,0.164590932,0.4455641983
2016-11-30,-0.1813667569,0.2045242293
2016-12-30,0.0845745614,0.3366573293
2017-01-26,-0.237779026,-0.0223392777
2017-02-28,0.0940290679,0.0061592091
2017-03-31,0.3408544024,0.0390514074
2017-04-28,0.3296004767,0.1068316694
2017-05-31,-0.1068907141,-0.2473885498
2017-06-30,-0.0748228957,0.4106104567
2017-07-31,-0.0837135391,-0.1968724231
2017-08-31,-0.0339144631,-0.1681486347
2017-09-29,0.3012200848,-0.1414037492
2017-10-31,0.0335036791,0.3153774471
2017-11-30,0.0572389831,-0.1971234563
2017-12-29,0.0548407164,0.2855065802
2018-01-31,-0.3160865705,-0.2611581956
2018-02-28,-0.0471735714,-0.2884153085
2018-03-30,-0.0753860815,0.1710214637
2018-04-27,-0.1124711496,-0.2420458808
2018-05-31,0.0502338259,-0.0128496675
2018-06-29,0.1103178189,0.3520259773
2018-07-31,0.2803943045,0.2401159371
2018-08-31,0.0826261288,0.1018309099
2018-09-28,0.1413559591,0.5003695329
2018-10-31,-0.3036423673,-0.2646319747
2018-11-30,0.0070393073,0.0966438456
2018-12-28,-0.0085202789,0.034975689
2019-01-31,-0.319594959,-0.084831748
2019-02-28,0.2249796996,-0.2890288058
2019-03-29,-0.0958048909,0.0983290143
2019-04-30,-0.0212576824,-0.0513528482
2019-05-31,-0.1548716335,-0.1612598184
2019-06-28,-0.0232823941,-0.1318112487
2019-07-31,0.0335961707,-0.391595487
2019-08-30,-0.251089499,0.2694889254
2019-09-30,0.1576609529,-0.0006977493
2019-10-31,0.040600346,0.0798919995
2019-11-29,0.0639014163,-0.0190083907
2019-12-31,-0.1838672654,-0.2541690653
2020-01-23,0.272557877,-0.2031741574
2020-02-28,-0.0541740318,0.1981150647
2020-03-31,-0.2486521387,-0.4231792762
2020-04-30,0.1206651728,-0.150497805
2020-05-29,-0.006699012,-0.5046177067
2020-06-30,0.1572402245,-0.2211489178
2020-07-31,-0.1227479872,-0.0118272498
2020-08-31,0.0125733011,0.1676872935
2020-09-30,0.0674160814,-0.0754469129
2020-10-30,-0.1033308598,0.2598505195
2020-11-30,-0.1316875623,-0.4580535672
2020-12-31,0.3158799893,-0.2016742338
2021-01-29,-0.1411770517,0.3936602922
2021-02-26,0.0856102518,0.4398851191
2021-03-31,-0.213178992,-0.3319989359
2021-04-30,0.1837471987,-0.1776438754
2021-05-31,0.1429490838,0.0760142478
2021-06-30,0.1817182525,0.2116577833
2021-07-30,0.2325919006,0.3001225168
2021-08-31,-0.1390364919,0.123123254
2021-09-30,-0.3230756375,-0.276868893
2021-10-29,-0.2243899591,-0.0533105263
2021-11-30,-0.0343309582,0.1437853895
2021-12-31,0.1287059142,0.5333560751
2022-01-28,-0.1510761469,0.0130199564
2022-02-28,0.0771600821,0.5870035359
2022-03-31,0.0569942861,0.0169994654
2022-04-29,-0.2697541487,-0.3518496247
2022-05-31,0.1342214095,-0.382049209
2022-06-30,-0.4145632616,0.2124447245
2022-07-29,-0.0524322457,0.1866034123
2022-08-31,0.2475900452,0.1069504241
2022-09-30,-0.3004048677,0.066141622
2022-10-31,-0.492324422,0.2143348851
2022-11-30,0.103395562,-0.2320608288
2022-12-30,-0.2713339136,-0.1140722152
2023-01-31,-0.1179969251,-0.0016852056
2023-02-28,0.2285148486,0.092432671
2023-03-31,0.0447152588,0.5420508781
2023-04-28,0.1441204373,0.2225788279
2023-05-31,-0.1214812266,-0.1852031961
2023-06-30,-0.1503645958,0.3482915865
2023-07-31,-0.0613947482,0.010284218
2023-08-31,0.1111870754,0.3943639
2023-09-28,0.1352699747,-0.1991492005
2023-10-31,0.2631761803,0.0267662245
2023-11-30,0.1257368143,0.0318550782
2023-12-29,0.264873417,0.5412914536
2024-01-31,-0.5787439076,-0.4876075337
2024-02-29,0.1963962344,-0.0961731931
2024-03-29,0.0135387368,0.0751159891
2024-04-30,0.0307698565,0.2990117278
2024-05-31,0.1631488519,0.1520221547
2024-06-28,-0.1232251737,0.2556086639
2024-07-31,0.0114802529,0.0510530079
2024-08-30,0.0142507582,-0.0749340162
2024-09-30,0.1035196179,0.2350835722
2024-10-31,0.0476585962,0.0275484452
2024-11-29,-0.1466034417,0.299036319
2024-12-31,0.0123598292,0.0444058853
2025-01-27,-0.2632355803,-0.0559174955
2025-02-28,-0.2171147761,-0.0583205851
2025-03-31,-0.016358264,-0.0618726294
2025-04-30,0.0940905028,0.1166623707
2025-05-30,0.0511604809,0.2096391319
2025-06-30,0.1009934094,0.1145064312
2025-07-31,0.0888955483,-0.4263402532
2025-08-29,0.2858176856,-0.1906041648
2025-09-30,-0.1438327258,0.1362579787
2025-10-31,0.2102910723,0.2239404866
2025-11-28,0.0103239472,-0.1448359926
2025-12-31,0.0919948762,-0.2935243586
