date,code,momentum20,bp
2016-02-29,000001.XSHE,-0.078683834,1.1487650775
2016-02-29,000002.XSHE,,
2016-02-29,000009.XSHE,-0.138381201,0.2556563978
2016-02-29,000027.XSHE,-0.1469465649,0.85041245
2016-02-29,000039.XSHE,-0.1230329041,0.5958055291
2016-02-29,000046.XSHE,-0.0268456376,0.3144851877
2016-02-29,000060.XSHE,0.0831973899,0.2869769844
2016-02-29,000061.XSHE,-0.1165501166,0.2327909305
2016-02-29,000063.XSHE,-0.1340629275,0.5225206396
2016-02-29,000069.XSHE,-0.0495412844,0.6798096533
2016-02-29,000100.XSHE,0.0256410256,0.5280946346
2016-02-29,000156.XSHE,-0.2366020525,0.3804740707
2016-02-29,000157.XSHE,-0.1121495327,1.2588116818
2016-02-29,000400.XSHE,-0.176344086,0.4650297619
2016-02-29,000402.XSHE,-0.0649526387,0.9238728751
2016-02-29,000413.XSHE,-0.0241691843,0.5539859288
2016-02-29,000415.XSHE,,
2016-02-29,000423.XSHE,0.0083783784,0.2218327824
2016-02-29,000425.XSHE,-0.1340206186,1.0237510238
2016-02-29,000503.XSHE,-0.2196299276,0.0706988582
2016-02-29,000538.XSHE,-0.0945749927,0.2235036431
2016-02-29,000539.XSHE,-0.1343570058,0.8309098463
2016-02-29,000540.XSHE,-0.1138952164,0.4063719116
2016-02-29,000559.XSHE,-0.075216972,0.1237822917
2016-02-29,000568.XSHE,-0.1109896118,0.3623976227
2016-02-29,000581.XSHE,-0.122278057,0.704920344
2016-02-29,000598.XSHE,-0.0555555556,0.5136898341
2016-02-29,000623.XSHE,-0.1308523409,0.8380824673
2016-02-29,000625.XSHE,-0.0508474576,0.481834827
2016-02-29,000629.XSHE,0.0476190476,0.3366436627
2016-02-29,000630.XSHE,-0.1264367816,0.6079766537
2016-02-29,000651.XSHE,,
2016-02-29,000686.XSHE,-0.2239669421,0.5159692482
2016-02-29,000709.XSHE,-0.0823970037,1.3622122327
2016-02-29,000712.XSHE,-0.0848516398,0.1994654326
2016-02-29,000725.XSHE,-0.08,0.9403799135
2016-02-29,000728.XSHE,-0.1521997622,0.6797634423
2016-02-29,000729.XSHE,-0.0746268657,0.7064641469
2016-02-29,000738.XSHE,0.0175904414,0.1306335728
2016-02-29,000750.XSHE,-0.1616541353,0.5746135724
2016-02-29,000768.XSHE,-0.1549372613,0.3277399056
2016-02-29,000776.XSHE,-0.1761316872,0.7517101406
2016-02-29,000778.XSHE,0.002688172,0.9534706331
2016-02-29,000783.XSHE,-0.2382588774,0.425694947
2016-02-29,000792.XSHE,-0.1350919265,0.7593591009
2016-02-29,000793.XSHE,-0.2263779528,0.5083367222
2016-02-29,000800.XSHE,-0.03877367,0.441774165
2016-02-29,000825.XSHE,-0.2067901235,1.3376136972
2016-02-29,000826.XSHE,-0.0984215413,0.2452422994
2016-02-29,000831.XSHE,-0.0050793651,0.1557802253
2016-02-29,000858.XSHE,-0.081134893,0.4897639338
2016-02-29,000876.XSHE,,
2016-02-29,000883.XSHE,-0.1723300971,0.8048289738
2016-02-29,000895.XSHE,0.0049019608,0.2719682341
2016-02-29,000898.XSHE,-0.1993355482,1.6820857864
2016-02-29,000917.XSHE,-0.2189822756,0.5298855447
2016-02-29,000937.XSHE,0.0304054054,0.9571209801
2016-02-29,000963.XSHE,-0.0524216524,0.1916002452
2016-02-29,000983.XSHE,0.0671641791,0.6593261687
2016-02-29,000999.XSHE,-0.0975945017,0.3666495564
2016-02-29,600000.XSHG,,
2016-02-29,600005.XSHG,-0.1358024691,1.2301636118
2016-02-29,600008.XSHG,-0.0756013746,0.4618510992
2016-02-29,600009.XSHG,-0.0062135922,0.387687059
2016-02-29,600010.XSHG,-0.1261261261,0.5525167136
2016-02-29,600011.XSHG,-0.0485268631,0.711997152
2016-02-29,600015.XSHG,-0.0609318996,1.1828720132
2016-02-29,600016.XSHG,0.0,0.968147933
2016-02-29,600019.XSHG,-0.0997150997,1.351168761
2016-02-29,600021.XSHG,-0.0438328236,0.4128478243
2016-02-29,600028.XSHG,-0.031496063,1.2825445684
2016-02-29,600029.XSHG,-0.2008547009,0.6919457515
2016-02-29,600030.XSHG,-0.0694326842,0.8041170794
2016-02-29,600031.XSHG,-0.1008403361,0.6089763108
2016-02-29,600036.XSHG,-0.059144677,0.9826078412
2016-02-29,600038.XSHG,-0.1018518519,0.2861967316
2016-02-29,600050.XSHG,-0.1291139241,0.9203865624
2016-02-29,600060.XSHG,-0.1351132686,0.6718624026
2016-02-29,600066.XSHG,0.0044091711,0.2674297328
2016-02-29,600068.XSHG,-0.1818181818,0.7976389886
2016-02-29,600085.XSHG,-0.1162622238,0.1843453895
2016-02-29,600089.XSHG,-0.1576182137,0.77675936
2016-02-29,600100.XSHG,-0.1772253408,0.5454942178
2016-02-29,600104.XSHG,-0.0306845004,0.8204118467
2016-02-29,600109.XSHG,-0.0818260121,0.4657228018
2016-02-29,600111.XSHG,-0.1058333333,0.2053598932
2016-02-29,600115.XSHG,-0.2020802377,0.4874244492
2016-02-29,600118.XSHG,-0.1133375078,0.1289124942
2016-02-29,600150.XSHG,-0.236511456,0.6109481916
2016-02-29,600153.XSHG,,
2016-02-29,600157.XSHG,-0.1234567901,0.4918355302
2016-02-29,600166.XSHG,-0.094488189,1.168633867
2016-02-29,600170.XSHG,,
2016-02-29,600177.XSHG,-0.119047619,0.7568876779
2016-02-29,600188.XSHG,0.1634241245,0.6136851795
2016-02-29,600196.XSHG,-0.0386215092,0.4234955321
2016-02-29,600208.XSHG,-0.0939226519,0.7997440819
2016-02-29,600221.XSHG,-0.119760479,0.8188666885
2016-02-29,600252.XSHG,-0.1371308017,0.307314075
2016-02-29,600256.XSHG,-0.1893491124,0.5155968033
2016-02-29,600271.XSHG,,
2016-02-29,600276.XSHG,0.0226415094,0.1069232825
2016-02-29,600309.XSHG,-0.1296296296,0.4082799167
2016-02-29,600315.XSHG,-0.094772344,0.2192645866
2016-02-29,600317.XSHG,-0.156424581,0.4802381981
2016-02-29,600332.XSHG,-0.129667003,0.3106940906
2016-02-29,600340.XSHG,-0.0824417873,0.2902252148
2016-02-29,600350.XSHG,-0.0970588235,0.9464319515
2016-02-29,600352.XSHG,-0.058988764,0.4976362279
2016-02-29,600362.XSHG,-0.0680851064,1.0690613641
2016-02-29,600369.XSHG,-0.1560846561,0.4320214283
2016-02-29,600372.XSHG,-0.1201716738,0.1746419839
2016-02-29,600373.XSHG,-0.1574912892,0.411675106
2016-02-29,600383.XSHG,-0.0730067243,0.4927079227
2016-02-29,600398.XSHG,-0.026645768,0.1663506005
2016-02-29,600406.XSHG,-0.1332398317,0.2308349299
2016-02-29,600415.XSHG,-0.0870253165,0.2519335903
2016-02-29,600485.XSHG,,
2016-02-29,600489.XSHG,0.1596752368,0.3329116452
2016-02-29,600518.XSHG,-0.0367346939,0.2636435539
2016-02-29,600519.XSHG,0.0598781345,0.2216852513
2016-02-29,600535.XSHG,-0.0492515693,0.1984363218
2016-02-29,600547.XSHG,0.3546637744,0.2598009924
2016-02-29,600549.XSHG,0.1966568338,0.3487844861
2016-02-29,600570.XSHG,-0.2008765522,0.0969668761
2016-02-29,600578.XSHG,-0.2380952381,0.717411579
