date,momentum20,bp
2016-03-01,0.0209205302,0.0186993101
2016-03-02,0.047488163,0.046259084
2016-03-03,-0.0013422281,0.0007028055
2016-03-04,0.0033652989,0.0189854773
2016-03-07,0.0080519198,0.0071421017
2016-03-08,-0.0016678641,-0.0009881205
2016-03-09,-0.0265837563,-0.017677501
2016-03-10,-0.0154375626,-0.0210785095
2016-03-11,0.0017288799,0.0027951209
2016-03-14,0.016932582,0.0153434831
2016-03-15,-0.00391047,0.0021091134
2016-03-16,-0.0006662249,0.0049070392
2016-03-17,0.0143883797,0.0069510802
2016-03-18,0.0138204999,0.0115848661
2016-03-21,0.0169826636,0.0166579516
2016-03-22,-0.0074622277,-0.0101974607
2016-03-23,0.002249996,0.0013627688
2016-03-24,-0.0183473766,-0.0172178836
2016-03-25,0.0028080871,0.0048183246
2016-03-28,-0.0049777743,-0.0071527251
2016-03-29,-0.0110034716,-0.0113922014
2016-03-30,0.0263682398,0.0253424452
2016-03-31,-0.0023056604,0.0004488634
2016-04-01,-0.0096218065,0.0066947336
2016-04-05,0.0270059129,0.0097361825
2016-04-06,0.0035571723,-0.0044562996
2016-04-07,-0.0253160645,-0.0124495461
2016-04-08,-0.0103838086,-0.0041920135
2016-04-11,0.0198917882,0.0192839708
2016-04-12,-0.0073366082,0.0005615011
2016-04-13,0.0167851578,0.01730908
2016-04-14,0.0100582437,0.0021657964
2016-04-15,-0.0062526339,-0.0048286208
2016-04-18,-0.0220208832,-0.0118227017
2016-04-19,0.0067463049,0.0014528106
2016-04-20,-0.0371774394,-0.0181828077
2016-04-21,-0.0186770582,-0.0026388632
2016-04-22,0.0122971601,-0.0016362568
2016-04-25,-0.0081930607,-0.0027144516
2016-04-26,0.011779837,0.0032043845
2016-04-27,-0.0089790464,-0.005235649
2016-04-28,0.001690814,-0.0003799132
2016-04-29,-0.0040176359,-0.0021496826
2016-05-03,0.021283075,0.0134917567
2016-05-04,-0.0037322488,-0.0015461447
2016-05-05,0.003475185,0.0001865422
2016-05-06,-0.0331128617,-0.0248484472
2016-05-09,-0.0296891255,-0.0278348882
2016-05-10,-0.0011184159,5.582e-07
2016-05-11,0.0118254739,0.0064231776
2016-05-12,0.0056469193,0.0004924313
2016-05-13,-0.0054796381,-0.0039528294
2016-05-16,0.0098141189,0.0025055193
2016-05-17,0.0034856429,-0.0029874608
2016-05-18,-0.0157384613,-0.0096796395
2016-05-19,0.0006955344,-0.0008489424
2016-05-20,0.0040823645,0.0032960352
2016-05-23,0.0058703741,0.003569336
2016-05-24,-0.0110525249,-0.0056348726
2016-05-25,-0.0067167078,0.0010112445
2016-05-26,0.005190725,0.0014250994
2016-05-27,-0.0027861629,-2.25248e-05
2016-05-30,-0.0033252906,0.0008419573
2016-05-31,0.0372437819,0.0282243473
2016-06-01,0.0056527695,-0.0025956393
2016-06-02,0.0084852913,0.0001205646
2016-06-03,0.006455716,0.0021037686
2016-06-06,-0.0005621528,-0.0018384859
2016-06-07,-0.0023438582,-0.0019158235
2016-06-08,-0.0065351133,-0.0029549869
2016-06-13,-0.0409827461,-0.0280013763
2016-06-14,0.0045242067,0.0022394552
2016-06-15,0.0250401941,0.0102811227
2016-06-16,-0.0088362305,-0.0073981538
2016-06-17,0.0078138361,0.0077660011
2016-06-20,0.000760647,-0.0018252682
2016-06-21,-0.0068339273,-0.0009137656
2016-06-22,0.0127339616,0.011176565
2016-06-23,-0.0090446262,-0.0019649475
2016-06-24,-0.0129775244,-0.0121115639
2016-06-27,0.0196384524,0.0134420048
2016-06-28,0.0055456525,0.0021629466
2016-06-29,0.0060664051,0.0061904696
2016-06-30,-0.0010833658,-0.0003457372
2016-07-01,-0.0004056158,0.001167677
2016-07-04,0.0293053654,0.0202676281
2016-07-05,0.0012455909,0.0060527369
2016-07-06,0.0164814274,-0.0031674126
2016-07-07,0.0014695595,0.0005837573
2016-07-08,-0.0033616903,-0.0057138739
2016-07-11,0.0084695067,0.0037566121
2016-07-12,0.0242519637,0.0251839736
2016-07-13,-0.0010917057,0.0086647594
2016-07-14,-0.0031454133,-0.0040829187
2016-07-15,-0.0036642415,0.0040929227
2016-07-18,-0.0082032461,-0.0019462719
2016-07-19,-3.39163e-05,-0.0040165271
2016-07-20,-0.0043732838,-0.005268533
2016-07-21,0.0037155202,0.0052341741
2016-07-22,-0.0090971565,-0.0089809361
2016-07-25,0.0035523857,0.0028732512
2016-07-26,0.0144103248,0.0117325991
2016-07-27,-0.0338872162,-0.0087970235
2016-07-28,0.0007922032,0.0042946388
2016-07-29,-0.0075972458,-0.0018946298
2016-08-01,-0.0181656254,-0.0009063647
2016-08-02,0.0073806231,0.0042041394
2016-08-03,0.007663588,0.000414508
2016-08-04,-0.0001065476,0.0006460922
2016-08-05,-0.0031763071,0.0044175338
2016-08-08,0.0068817631,0.0113728449
2016-08-09,0.0081878898,0.004170249
2016-08-10,-0.0037014633,-0.0007330186
2016-08-11,-0.0111329843,-0.0016690717
2016-08-12,0.0136785379,0.0226715961
2016-08-15,0.0274652508,0.0261395727
2016-08-16,-0.0048344409,-0.0048344886
2016-08-17,0.0016901032,-0.001262864
2016-08-18,-0.0047874786,0.0004803153
2016-08-19,-0.0045443902,0.0026094346
2016-08-22,-0.0081219757,-0.0077179257
2016-08-23,0.0030667861,-0.0008369956
2016-08-24,-0.0021228766,-0.0020616278
2016-08-25,-0.0109860498,-0.006948721
2016-08-26,0.0027682762,-0.000769795
2016-08-29,0.0006915915,0.0002469525
2016-08-30,-0.0033353962,0.0012868832
2016-08-31,0.0026045559,0.0030587288
2016-09-01,-0.0158170228,-0.0076329297
2016-09-02,0.0039842538,0.0027045078
2016-09-05,0.0005403487,0.0032585529
2016-09-06,0.010138372,0.0027795097
2016-09-07,-0.0008566634,0.0028476703
2016-09-08,-0.0033895706,-0.0011676893
2016-09-09,-0.009168579,-0.006130248
2016-09-12,-0.0212521506,-0.015108097
2016-09-13,0.0025179718,-0.0014549863
2016-09-14,-0.0075595782,-0.0075331781
2016-09-19,0.0083465835,0.0070685085
2016-09-20,-0.0015945172,-0.0023787905
2016-09-21,0.0074045611,0.004111648
2016-09-22,0.0095255656,0.0045185349
2016-09-23,-0.0067170507,-0.0011000302
2016-09-26,-0.0269618012,-0.014223516
2016-09-27,0.0097901445,0.0052221621
2016-09-28,-0.0035050115,-0.0051333025
2016-09-29,0.0057698882,0.0041121513
2016-09-30,0.003819652,0.0009694603
2016-10-10,0.0193083455,0.0124293918
2016-10-11,0.0031824562,0.0045325528
2016-10-12,-0.0022822062,-0.0045119747
2016-10-13,0.000296933,0.0024415977
2016-10-14,-0.0024123058,0.0059099808
2016-10-17,-0.012537876,-0.0050531474
2016-10-18,0.0152574658,0.0150206165
2016-10-19,-0.0047178411,-0.0001342415
2016-10-20,-0.0002276955,0.0003899512
2016-10-21,-0.0004786745,0.0086293909
2016-10-24,0.0105694522,0.0161977086
2016-10-25,0.0037425981,0.0019994588
2016-10-26,-0.0030147641,-0.0081155485
2016-10-27,-0.0053031577,-0.0040648845
2016-10-28,-0.0049083594,-0.0038653875
2016-10-31,-0.0012954272,-0.0006852212
2016-11-01,0.0068794318,0.0042514353
2016-11-02,-0.0085735546,-0.0101004044
2016-11-03,0.0171791275,0.0095024187
2016-11-04,-0.0046148693,-0.000687488
2016-11-07,0.0030755755,0.0078707357
2016-11-08,0.0028798787,0.0022069177
2016-11-09,-0.0081236128,-0.0043802289
2016-11-10,0.0170643665,0.016169045
2016-11-11,0.0155397098,0.0115935611
2016-11-14,0.0091142529,0.0087823483
2016-11-15,-0.0058982086,-0.006829697
2016-11-16,-0.001672663,-0.001052674
2016-11-17,0.0053637898,0.0041633013
2016-11-18,-0.0101847376,-0.0056013574
2016-11-21,0.0047640038,0.0104474438
2016-11-22,0.0118700696,0.0128800589
2016-11-23,-0.0025000697,0.0018521194
2016-11-24,0.008916217,0.0027547176
2016-11-25,0.0086175747,0.0133341138
2016-11-28,0.0096262607,0.0106925747
2016-11-29,0.0033500407,0.0057988945
2016-11-30,-0.0125894533,-0.0148507937
2016-12-01,0.0109017375,0.0152638502
2016-12-02,-0.0165278698,0.00010563
2016-12-05,-0.0394588779,-0.0105513973
2016-12-06,-0.0065362967,-0.0087982912
2016-12-07,0.0144130831,0.0075846675
2016-12-08,-0.0044411737,0.0003255921
2016-12-09,0.0137876772,0.0099590854
2016-12-12,-0.0365074903,-0.015096297
2016-12-13,0.0083230252,-5.86126e-05
2016-12-14,-0.0162912388,-0.0063094185
2016-12-15,-0.0052205223,-0.0157014306
2016-12-16,0.0008548899,-0.001875197
2016-12-19,-0.00663843,-0.0003394334
2016-12-20,-0.0064222258,-0.0114177387
2016-12-21,0.0142828786,0.0136356326
2016-12-22,-0.0006451771,-0.0008368777
2016-12-23,-0.0130316298,-0.0054979008
2016-12-26,0.0080939891,0.0028161914
2016-12-27,-0.0017263361,-0.0031536072
2016-12-28,-0.0076197357,-0.0036960864
2016-12-29,0.0031517211,0.000719554
2016-12-30,-0.0013282848,0.0018881543
2017-01-03,0.0073757517,0.0135640226
2017-01-04,0.008430033,0.0066159162
2017-01-05,0.0045568597,0.0049065257
2017-01-06,-0.0030055863,-0.0018679393
2017-01-09,0.0081218403,0.0066267942
2017-01-10,-0.002395493,-0.0001153702
2017-01-11,-0.012408755,-0.0055171074
2017-01-12,-0.0111605138,-0.0051215523
2017-01-13,-0.0010008967,0.0037442369
2017-01-16,-0.0020523702,0.0063447038
2017-01-17,0.0048950842,-0.0003757519
2017-01-18,0.004573072,0.0088482469
2017-01-19,-0.0060841945,-0.0017711203
2017-01-20,0.0062019594,0.0052125799
2017-01-23,0.0042607459,0.002930694
2017-01-24,0.0018880062,0.0064768405
2017-01-25,0.001679242,0.0010700078
2017-01-26,0.002174605,0.0049532112
2017-02-03,-0.0106044381,-0.0079684862
2017-02-06,-0.0001705339,-0.000516912
2017-02-07,0.0012005611,0.0009908582
2017-02-08,0.0046142292,0.0035218937
2017-02-09,0.0026158034,0.0055780995
2017-02-10,0.0084775656,0.0111597044
