signal,family,horizon_minutes,n_obs,pearson_ic,spearman_ic,preferred_direction,usable_direction_accuracy
MA gap (20),technical_indicator,5,510886,-0.019581062902180472,-0.05891870644601901,contrarian,0.5908754594958563
MACD hist,technical_indicator,5,514914,-0.010350267271476721,-0.038566301182148696,contrarian,0.5816757749837838
RSI centered,technical_indicator,5,473961,-0.015319739038405417,-0.048388323699423884,contrarian,0.5848603577087566
KDJ J centered,technical_indicator,5,514907,-0.030944813265938804,-0.06600535636469082,contrarian,0.5897336800626132
Kalman slope,causal_filter,5,514910,-0.005289093896781141,-0.023591550835529433,contrarian,0.5766658250956478
MA gap (20),technical_indicator,15,510876,-0.007719502333012941,-0.02931832024924708,contrarian,0.5557023622170546
MACD hist,technical_indicator,15,514904,0.0004890789345185964,-0.017799156976510903,contrarian,0.5486440190792847
RSI centered,technical_indicator,15,473952,-0.0007716500098889779,-0.023715779504306686,contrarian,0.5529800486125177
KDJ J centered,technical_indicator,15,514897,-0.012458977246241062,-0.0342548919993664,contrarian,0.5549653620044397
Kalman slope,causal_filter,15,514900,-0.003274459203159236,-0.01012321554165713,contrarian,0.5484734899980579
MA gap (20),technical_indicator,30,510861,-0.01004636917745626,-0.018624191089415935,contrarian,0.5395322798177977
MACD hist,technical_indicator,30,514889,-0.0014811519873254046,-0.011648667778408934,contrarian,0.5345987193356239
RSI centered,technical_indicator,30,473937,-0.000812386342950341,-0.014362443904910399,contrarian,0.5370334031738395
KDJ J centered,technical_indicator,30,514882,-0.006550314510025461,-0.020735386909625255,contrarian,0.536783185273519
Kalman slope,causal_filter,30,514885,-0.008261847416392078,-0.00626332504639152,contrarian,0.5354477213358323
MA gap (20),technical_indicator,60,510831,-0.009431440632292884,-0.007939078723296153,contrarian,0.5250170800127636
MACD hist,technical_indicator,60,514859,-0.007187699219418906,-0.005404697738865283,contrarian,0.5222789151981416
RSI centered,technical_indicator,60,473909,0.001720151975050189,-0.004830498860633227,contrarian,0.5229928108560926
KDJ J centered,technical_indicator,60,514852,-0.0030293820919990513,-0.010263642043637305,contrarian,0.5246090138525246
Kalman slope,causal_filter,60,514855,-0.0028294421764661934,0.0007799418785632751,contrarian,0.5224830292023968
